OBJECTID,COUNTY_NAM,COUNTY_ABB,COUNTY_NUM,COUNTY_COD,COUNTY_FIP,ISLAND,GlobalID,SHAPE_Leng,SHAPE_Area,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"40",San Luis Obispo,SLO,"40","40","079",,{9EE2E9C5-6CB8-4AA9-8591-276DB26F7B52},"787688.504260887391865","-12974195493.041072845458984","0","41269","0","394531","108012","77634","12733","46229","60","503162","691293","2694130","4369540","42067","474591","34604","70129"
"41",San Mateo,SMT,"41","41","081",,{B4F387B3-07F1-43A1-B18A-A6D81C17E28B},"296746.199117609940004","-2272024165.768487453460693","0","306191","0","108241","89363","132481","58906","5753","4008","337030","279202","136649","89228","1806","8401","8148","22611"
"42",Santa Barbara,SBA,"42","42","083",,{5275E3EF-B1E1-4AEA-A429-CE42646F9D3A},"535263.340301830205135","-9803016764.737339019775391","0","17783","0","229189","120432","105199","15864","10713","42","604746","421196","3789807","1533762","53331","351681","28170","58452"
"43",Santa Clara,SCL,"43","43","085",,{2220F7B9-9361-4FB8-9456-872109CF6CF7},"430617.481386021245271","-5341596054.788613319396973","0","72406","0","187262","216985","405608","133227","3741","1526","269706","895155","913193","538327","4710","85598","6813","21273"
"44",Santa Cruz,SCZ,"44","44","087",,{3AB4BC0E-7DAC-4010-B33F-06F9419970D1},"307048.569388463045470","-1817372900.017793893814087","0","4179","0","130060","42893","46205","13618","2723","355","626781","178891","97839","74452","10151","47180","4805","3503"
"45",Shasta,SHA,"45","45","089",,{23A0546A-1C24-4E60-91E6-7F8E49331ACD},"709221.731198805500753","-17408369411.689895629882812","0","178234","24","278353","81231","60836","19103","14973","60843","5196248","135961","2689091","2030845","192333","48336","46721","51782"
"46",Sierra,SIE,"46","46","091",,{42C600F9-816F-43C2-8D92-05A7105714BF},"374684.196529416018166","-4197234766.720978260040283","203","22374","8","33096","8042","1907","339","603","4386","1843688","13109","692678","58478","1370","9924","7793","68794"
"47",Siskiyou,SIS,"47","47","093",,{79363538-FD2D-4CCD-8370-D3D130C54777},"897698.504233487532474","-29416032037.346668243408203","753","97867","14055","474912","93323","55657","11172","205369","49211","9700702","137879","4224952","1966076","306440","708388","56010","163262"
"48",Solano,SOL,"48","48","095",,{1EAB1C71-3B1D-4DD6-91DD-7ADCC5763BDE},"339651.084866367804352","-3828194705.171613693237305","0","285979","0","79121","75813","140977","48412","6865","1299","36195","24609","188318","588458","21199","841333","2734","276617"
"49",Sonoma,SON,"49","49","097",,{897E1214-BF0A-456F-BFB4-D90E49C14C13},"562775.028759495122358","-6800681632.830808639526367","0","80776","0","217444","137626","136936","40281","5093","40989","1372856","331402","864817","957668","53521","287323","21590","69462"
"50",Stanislaus,STA,"50","50","099",,{BE9F177F-A5FF-460C-9B79-3197A6E5E093},"474264.063188366650138","-6258716830.098304748535156","0","51300","0","113919","106991","150757","54229","10467","491","4122","165093","488815","1273879","94279","1798802","20530","28699"
"51",Sutter,SUT,"51","51","101",,{F980CCE0-9272-4962-922F-E2C7343A994C},"350551.696650270198006","-2614846608.239265441894531","0","19076","0","46951","49201","41579","8787","546","1127","2678","3062","63846","99243","1240","1361512","13755","37953"
"52",Tehama,TEH,"52","52","103",,{6D366794-51DC-48B7-81FD-8FBAA1A69238},"626814.907864666776732","-13117330466.515027999877930","0","30579","2","204102","45424","24252","8186","21147","28249","1975076","93394","3385389","2124420","115203","342152","56482","57484"
"53",Trinity,TRI,"53","53","105",,{2CDCC639-3309-4168-9D1F-F9C64504994D},"807269.688596863765270","-14447626019.218328475952148","0","83576","7328","376186","25585","9179","3827","45977","51660","5490779","224533","2244720","654182","135","0","10514","2097"
"54",Tulare,TUL,"54","54","107",,{709BE848-8AAC-4CD3-BF13-8B982EDE6775},"654530.718363953405060","-19311031190.520427703857422","0","40998","4295","258801","140798","150252","37537","534770","65514","3173358","42350","3669691","2248226","39360","3448786","33636","47813"
"55",Tuolumne,TUO,"55","55","109",,{459450DA-AFC0-4845-9007-2216BD515717},"643353.197291477932595","-9522573610.550352096557617","0","129227","3263","83880","20107","7088","3065","138731","66555","2848644","61623","2587576","566505","351","103","18464","19186"
"56",Ventura,VEN,"56","56","111",,{DFDE8E6B-742D-48C4-A4A0-4952E37D938B},"370211.927724654087797","-6999718265.995673179626465","0","17359","0","196810","184975","234775","35917","10766","86","566597","100982","2599448","927031","32184","303693","22723","39832"
"57",Yolo,YOL,"57","57","113",,{33CD46B3-A884-45B7-9638-80F30B53983F},"419556.871400423231535","-4346599728.275160789489746","0","32866","0","60545","51910","66610","26696","9566","482","13120","12594","381083","534307","12421","1710894","3223","21905"
"58",Yuba,YUB,"58","58","115",,{D0B131E8-925B-4476-8243-47C737385893},"363851.509144691983238","-2786356525.289672374725342","0","40937","0","70759","19866","19088","5928","31236","52287","550731","23289","183794","337827","2555","506903","5528","2319"
"59",Santa Barbara,SBA,"42","42","083",Channel Islands,{66611833-E5DB-4C4A-A303-B798BE0B4868},"1902.968252538236129","-79721.326719544158550","0","8","0","0","0","0","0","48","0","0","0","2","4","0","0","0","0"
"60",Santa Barbara,SBA,"42","42","083",Channel Islands,{56DA86ED-95AF-439F-BADD-4DDC85558619},"14848.655668882280224","-3749446.315833253785968","0","74","0","3","0","0","0","172","0","0","0","678","1965","0","0","0","0"
"61",Santa Barbara,SBA,"42","42","083",Channel Islands,{F23BE533-83AB-4FF1-B01F-26DB42FD5F6F},"126896.070090363646159","-311065614.629382193088531","0","490","0","15","16","7","0","414","0","159","208","208286","27526","0","0","0","28"
"62",Santa Barbara,SBA,"42","42","083",Channel Islands,{0D4C5811-29C6-46C6-84F1-0995D567A61B},"65871.332183483027620","-54194905.852081842720509","0","357","0","2","0","1","2","123","0","516","613","36758","2855","1","0","0","4"
"63",Santa Barbara,SBA,"42","42","083",Channel Islands,{B8540E93-D1E4-4AF7-8F81-64260A5216DA},"175301.704405217955355","-363701291.497979521751404","0","895","0","3768","208","49","3","4","0","2084","1962","262480","5446","0","0","29","24"
"64",Ventura,VEN,"56","56","111",Channel Islands,{099A7446-FC1F-49A0-A081-091B8E057558},"71770.043881470774068","-82698475.576765567064285","0","433","0","395","1616","570","121","20660","0","0","0","2912","35118","2228","0","2","38"
"65",Ventura,VEN,"56","56","111",Channel Islands,{86C2171F-D249-45A0-AC0C-40A4E6CB82E2},"11880.900110883128946","-875009.351026991615072","0","64","0","0","0","0","0","0","0","0","0","597","4","0","0","0","0"
"66",Ventura,VEN,"56","56","111",Channel Islands,{71E2D2AD-A83C-4F5D-BC3B-B7AD9B12F57B},"14258.526447705873579","-2595855.413550943136215","0","77","0","0","0","1","0","0","0","7","21","1867","0","0","0","0","0"
"67",Ventura,VEN,"56","56","111",Channel Islands,{D90412B1-C6AF-4437-94D9-48DC3A13A64D},"7967.030169707179084","-608208.248279479797930","0","38","0","1","3","0","0","0","0","0","0","417","1","0","0","2","0"
"68",Los Angeles,LOS,"19","19","037",Channel Islands,{3CB33DC3-E564-4BBF-8528-866600A1F9E4},"135274.199619378341595","-207658042.004013627767563","0","614","0","2168","2081","1314","320","2320","0","78","47","137263","15958","25","0","0","24"
"69",Los Angeles,LOS,"19","19","037",Channel Islands,{991044AE-CBC3-43B8-898A-702C5315293C},"143353.768380608758889","-277617205.354575872421265","0","429","0","2768","1202","596","186","5861","8","775","4584","186626","11320","65","0","33","23"
