STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"30","057","93633","01940732","3005793633",Twin Bridges,Twin Bridges CCD,"22",Z5,G4040,,,,S,"1525753045","598585","+45.6289054","-112.3769709","0","4946","0","12385","8702","1425","163","1314","161","302793","141","357871","710972","171964","88844","13692","20599"
"30","099","90609","01940586","3009990609",Choteau,Choteau CCD,"22",Z5,G4040,,,,S,"4007270832","32882520","+47.8788936","-112.4229532","0","32872","9","34181","7638","1654","368","155494","3008","630671","17218","957447","1437793","115233","954980","61142","79358"
"30","099","90966","01940603","3009990966",Dutton-Power,Dutton-Power CCD,"22",Z5,G4040,,,,S,"1136991404","124333","+47.8280935","-111.6498682","0","501","0","23892","8772","1115","119","3017","10","16","2","71678","340904","22454","782046","2656","6271"
"30","099","91092","01940609","3009991092",Fairfield,Fairfield CCD,"22",Z5,G4040,,,,S,"739162984","19651058","+47.6162579","-112.1199606","0","25167","0","13170","6386","1236","194","1656","0","56","1","156308","294838","20444","304463","4103","15102"
"30","101","93402","01940721","3010193402",Sunburst,Sunburst CCD,"22",Z5,G4040,,,,S,"2314877622","33897745","+48.8074125","-111.7098856","576","9155","0","29996","6426","1968","189","15334","84","11670","17","384524","1020322","103291","1003379","1922","20901"
"30","041","91701","01940642","3004191701",Havre,Havre CCD,"22",Z5,G4040,,,,S,"862574736","900107","+48.4247861","-109.6564579","0","3892","0","11444","9915","4794","1265","109","8553","42375","1483","240588","370070","9157","209873","28557","17335"
"30","041","92919","01940700","3004192919",Rudyard,Rudyard CCD,"22",Z5,G4040,,,,S,"1870355954","3536900","+48.6232503","-110.5888532","23","3240","0","47289","7440","701","55","496","0","0","0","57012","265312","222044","1472262","658","5574"
"30","077","91743","01940644","3007791743",Helmville,Helmville CCD,"22",Z5,G4040,,,,S,"3279333696","13130154","+47.1178770","-113.0583852","0","14059","1","12167","3171","524","22","42257","909","1802512","1090","614002","978935","59023","25482","77975","26164"
"30","101","93014","01940714","3010193014",Shelby,Shelby CCD,"22",Z5,G4040,,,,S,"2645007898","44111795","+48.4916196","-111.6426222","0","39492","0","39033","9594","3497","537","3902","0","24","0","159596","773397","143231","1792245","4263","19092"
"30","049","92100","01940661","3004992100",Lincoln,Lincoln CCD,"22",Z5,G4040,,,,S,"2827996793","4840534","+47.0134320","-112.5229391","0","1973","106","12465","9337","2991","250","35054","286","1664318","4155","660417","677554","24033","8230","37113","9317"
"30","045","91785","01940646","3004591785",Hobson,Hobson CCD,"22",Z5,G4040,,,,S,"2530595483","1443805","+46.8686130","-110.1837832","0","2295","0","19553","4132","362","7","1739","118","1057871","3421","532140","558299","39409","563139","5948","24995"
"30","079","93486","01940725","3007993486",Terry South,Terry South CCD,"22",Z5,G4040,,,,S,"1879252902","6754311","+46.7025636","-105.0308357","0","10492","0","10525","8628","2052","199","86","4684","20561","1994","159943","1643237","30804","192608","3203","6559"
"30","079","93465","01940724","3007993465",Terry North,Terry North CCD,"22",Z5,G4040,,,,S,"2618527452","8338621","+46.9924545","-105.8539502","0","9169","0","11506","4923","1083","53","433","4495","46316","309","175178","2450284","63318","144902","1785","4963"
"30","077","90126","01940563","3007790126",Avon-Elliston,Avon-Elliston CCD,"22",Z5,G4040,,,,S,"1943103401","1160889","+46.5876219","-112.6772904","0","1638","1","9373","4596","1778","174","227","215","1018019","474","402226","594777","89036","7648","14623","15461"
"30","077","90861","01940598","3007790861",Deer Lodge,Deer Lodge CCD,"22",Z5,G4040,,,,S,"802011104","1929765","+46.3664828","-112.7725009","0","2365","8","9969","5649","2972","431","2531","129","285333","135","131655","312581","80003","41437","7403","10685"
"30","007","93591","01940730","3000793591",Townsend West,Townsend West CCD,"22",Z5,G4040,,,,S,"1462874648","58529135","+46.2173131","-111.6209986","0","64738","0","11833","10732","2494","337","90","44","201352","49","322492","797848","71112","192038","4613","10679"
"30","023","93728","01940599","3002393728",Warm Springs,Warm Springs CCD,"22",Z5,G4040,,,,S,"469501306","2754143","+46.2020906","-112.7892505","0","8470","0","6322","4037","2073","146","11065","20","116697","1","151689","142044","28491","26920","6654","20083"
"30","023","90063","01940560","3002390063",Anaconda,Anaconda CCD,"22",Z5,G4040,,,,S,"1438495825","9445098","+46.0175935","-113.1768441","0","10822","149","11023","5434","5546","1062","17977","464","931575","50","368488","224343","6399","2176","10007","13265"
"30","081","90819","01940596","3008190819",Darby,Darby CCD,"22",Z5,G4040,,,,S,"590690724","7229409","+46.0109447","-114.3696839","0","7937","616","4438","2215","563","146","3155","42","304925","32","208964","104459","17504","318","1720","7341"
"30","081","93380","01940720","3008193380",Sula,Sula CCD,"22",Z5,G4040,,,,S,"2559836706","6379996","+45.7511514","-114.1787414","9","4398","648","5340","2301","837","75","4172","420","1697305","22","874901","229837","18199","87","7729","5093"
"30","081","91575","01940636","3008191575",Hamilton,Hamilton CCD,"22",Z5,G4040,,,,S,"1794599728","4744638","+46.2215108","-114.0870706","3","4791","222","25494","16192","4579","1538","2955","21","911529","3","578428","270616","133829","17901","3409","27732"
"30","081","93696","01940735","3008193696",Victor,Victor CCD,"22",Z5,G4040,,,,S,"295903933","1837951","+46.4151125","-114.2520690","0","1917","15","6013","2753","539","184","720","8","128223","0","90547","43634","32525","5147","2301","16298"
"30","095","90021","01940558","3009590021",Absarokee,Absarokee CCD,"22",Z5,G4040,,,,S,"1539356074","6497979","+45.3766476","-109.7502143","0","8818","2117","2276","1140","671","206","41088","6747","422493","478","603151","550772","46338","4023","18035","9252"
"30","095","92510","01940682","3009592510",North Stillwater,North Stillwater CCD,"22",Z5,G4040,,,,S,"1984102831","6448922","+45.9236335","-109.2097015","0","28153","0","15142","3961","1673","275","1111","2","66194","0","300526","1249982","59228","458802","3070","23586"
"30","095","92604","01940687","3009592604",Park City,Park City CCD,"22",Z5,G4040,,,,S,"332657446","2737589","+45.6512509","-108.9966430","0","3199","0","3386","3354","1775","103","145","55","41042","0","79795","162123","8185","58288","8793","2409"
"30","065","92877","01940698","3006592877",Roundup,Roundup CCD,"22",Z5,G4040,,,,S,"2228264481","6498771","+46.5878545","-108.5864454","0","13145","0","5492","3469","1493","360","861","0","70442","5","783802","1317484","38563","229253","6831","11853"
"30","065","91953","01940654","3006591953",Klein,Klein CCD,"22",Z5,G4040,,,,S,"1033040863","71023","+46.3055530","-108.5237042","0","1617","0","5380","1374","495","61","263","6","450831","0","367492","234138","8529","64382","7850","5496"
"30","007","93570","01940729","3000793570",Townsend East,Townsend East CCD,"22",Z5,G4040,,,,S,"1625253454","60014343","+46.4265064","-111.3745215","0","70284","0","12570","9675","2278","349","1603","159","634716","463","476942","444045","26928","176700","5164","10627"
"30","045","91407","01940627","3004591407",Geyser,Geyser CCD,"22",Z5,G4040,,,,S,"1422819718","352141","+47.2368095","-110.5092267","0","723","0","4795","2808","272","8","271","1530","239296","9647","438577","680785","16491","165949","5141","15007"
"30","045","93318","01940718","3004593318",Stanford,Stanford CCD,"22",Z5,G4040,,,,S,"889051482","270785","+47.1529124","-110.1273274","0","496","0","8988","5091","518","22","14","26","15845","1679","186044","317201","29285","399646","1853","21429"
"30","071","93223","01940689","3007193223",South Phillips,South Phillips CCD,"22",Z5,G4040,,,,S,"4450427634","112167198","+47.7051953","-108.0728185","0","111543","0","3409","2236","71","0","6597","808","325032","245","2313158","2129061","42116","69426","20300","45494"
"30","105","91281","01940621","3010591281",Fort Peck Reservation,Fort Peck Reservation CCD,"22",Z5,G4040,,,,S,"2906955451","11028235","+48.3622987","-106.1457388","0","11899","0","37206","7890","1209","50","768","2697","1734","677","290018","1418005","83140","1304407","46682","35829"
"30","105","92562","01940685","3010592562",Opheim,Opheim CCD,"22",Z5,G4040,,,,S,"1532819772","687147","+48.8202584","-106.3288696","245","2655","0","20621","2434","283","26","39","1895","1037","119","105848","524608","104263","905297","21051","13473"
"30","105","91470","01940631","3010591470",Glasgow,Glasgow CCD,"22",Z5,G4040,,,,S,"1394407937","1102476","+48.4171994","-106.5919225","0","3146","0","15011","9267","3568","1685","135","300","253","12","183199","993683","8963","294908","19142","17311"
"30","105","93276","01940716","3010593276",South Valley,South Valley CCD,"22",Z5,G4040,,,,S,"3453213473","331031414","+47.9203576","-107.0362354","0","363624","0","9871","4130","824","65","434","342","59801","8","1852572","1584480","24275","270161","12640","21461"
"30","009","91323","01940623","3000991323",Fromberg-Bridger,Fromberg-Bridger CCD,"22",Z5,G4040,,,,S,"378526165","1669851","+45.3027169","-109.0029469","0","1755","0","3558","2514","824","164","134","98","7484","12","294033","34595","26027","42140","4572","4554"
"30","027","92037","01940658","3002792037",Lewistown,Lewistown CCD,"22",Z5,G4040,,,,S,"2049389033","919071","+46.8392110","-109.4404443","0","1704","0","23855","8232","3052","202","187","68872","617291","5604","675716","244905","24785","523971","49867","29866"
"30","027","90903","01940600","3002790903",Denton,Denton CCD,"22",Z5,G4040,,,,S,"1581377544","2843616","+47.4088256","-109.8421105","0","3975","0","11475","4115","399","14","87","9","33800","4","426364","554408","23335","661224","13341","27652"
"30","029","91118","02378354","3002991118",Flathead Reservation,Flathead Reservation CCD,"22",Z5,G4040,,,,S,"120623047","0","+47.8447148","-114.5727222","0","0","0","669","525","155","2","223","2","29165","0","25527","70266","6652","442","114","269"
"30","055","90630","01940587","3005590630",Circle,Circle CCD,"22",Z5,G4040,,,,S,"3055291064","23590020","+47.3817598","-105.8547594","0","25868","0","15531","6542","2400","238","1355","1855","2739","182","268393","2130939","54436","902234","908","7348"
"30","093","90487","01940710","3009390487",Butte-Silver Bow South,Butte-Silver Bow South CCD,"22",Z5,G4040,,,,S,"905587366","822148","+45.8034290","-112.6780596","0","923","0","4187","3137","1053","17","661","62","548241","1106","193961","235103","11212","5359","1339","798"
"30","093","90483","01940580","3009390483",Butte,Butte CCD,"22",Z5,G4040,,,,S,"444946950","321304","+45.9636261","-112.5348679","0","5129","23","17905","14015","19617","3782","16583","5","197578","63","84011","132362","1927","0","868","860"
"30","093","90485","01940709","3009390485",Butte-Silver Bow Northwest,Butte-Silver Bow Northwest CCD,"22",Z5,G4040,,,,S,"509029995","378708","+46.0355229","-112.7158566","0","346","0","4675","3352","1744","491","551","98","299876","16","102385","143206","4232","1966","987","2080"
"30","061","93444","01940723","3006193444",Superior,Superior CCD,"22",Z5,G4040,,,,S,"1233429608","4865483","+47.0947233","-114.9232492","0","5179","70","1594","2203","2569","79","2027","63","986929","1019","277080","92628","1601","1134","729","1019"
"30","031","91344","01940624","3003191344",Gallatin Gateway,Gallatin Gateway CCD,"22",Z5,G4040,,,,S,"634434024","2562154","+45.5180536","-111.1639214","0","2529","1","12338","4161","1297","222","1258","3443","308271","966","165171","77090","30679","89290","5687","5386"
"30","031","93780","01940739","3003193780",West Yellowstone,West Yellowstone CCD,"22",Z5,G4040,,,,S,"1023570685","52472312","+44.8562940","-111.2162563","2","56496","0","7671","3565","2606","298","2000","2616","753821","313","236411","94463","0","0","20353","14977"
"30","031","92226","01940667","3003192226",Manhattan,Manhattan CCD,"22",Z5,G4040,,,,S,"464401414","1712155","+45.7446506","-111.3736407","0","1129","0","9126","7382","2222","527","183","3","1146","0","47993","114174","47410","274703","4263","7635"
"30","017","93160","01940673","3001793160",South Custer,South Custer CCD,"22",Z5,G4040,,,,S,"5132340100","6219757","+46.0633196","-105.6274476","0","15487","0","12544","4246","743","45","210","287","287664","20","1688973","3359121","66822","197632","11538","64192"
"30","017","93087","01940707","3001793087",Shirley-Ismay,Shirley-Ismay CCD,"22",Z5,G4040,,,,S,"2397663239","4232824","+46.3854404","-105.2063533","0","11264","0","4768","4075","521","27","188","160","149444","51","496485","1855707","15256","94692","5067","31077"
"30","085","91008","01940605","3008591008",East Roosevelt,East Roosevelt CCD,"22",Z5,G4040,,,,S,"1575889526","14634631","+48.2229029","-104.3277411","0","17388","0","16913","12125","3923","474","1848","2161","637","1299","56370","923181","55100","607271","9256","59321"
"30","019","92992","01940595","3001992992",Scobey,Scobey CCD,"22",Z5,G4040,,,,S,"3108219553","753703","+48.8167064","-105.5735853","13","4913","0","32318","11894","2215","300","244","4229","213","76","226204","1165943","201408","1721548","21579","61329"
"30","019","91218","01940618","3001991218",Fort Peck Reservation,Fort Peck Reservation CCD,"22",Z5,G4040,,,,S,"585138031","267994","+48.6126257","-105.5085550","0","712","0","4662","1746","202","13","59","159","0","0","29423","182703","38667","376190","4126","11782"
"30","091","93738","01940737","3009193738",Westby,Westby CCD,"22",Z5,G4040,,,,S,"692263599","20508261","+48.8510251","-104.2244805","0","17775","0","10793","4712","666","64","2621","57","6","1","4759","287675","16041","432462","258","14062"
"30","105","91764","01940645","3010591764",Hinsdale,Hinsdale CCD,"22",Z5,G4040,,,,S,"3471146445","7621311","+48.6145440","-106.9353727","24","14473","0","20462","7074","773","66","1078","1809","3018","244","650478","2595920","50293","453001","30477","36110"
"30","085","91239","01940619","3008591239",Fort Peck Reservation,Fort Peck Reservation CCD,"22",Z5,G4040,,,,S,"4522040783","23186172","+48.3176931","-105.3053777","0","36765","0","32457","28088","8018","1235","2578","10410","122","638","179515","2009988","160346","2350411","66774","162916"
"30","033","92478","01940678","3003392478",North Garfield,North Garfield CCD,"22",Z5,G4040,,,,S,"6564830097","441779466","+47.4602771","-107.1252792","0","495143","0","9142","2231","837","69","1853","281","324337","5","1979936","4290170","77997","577115","8750","17259"
"30","033","93192","01940712","3003393192",South Garfield,South Garfield CCD,"22",Z5,G4040,,,,S,"5547400779","5087281","+47.0630958","-106.8418859","0","11065","0","31541","3716","1641","111","1935","181","16177","5","1365567","3972773","86488","669878","1815","6511"
"30","011","91050","01940607","3001191050",Ekalaka,Ekalaka CCD,"22",Z5,G4040,,,,S,"2719054920","2705571","+45.8599829","-104.4651679","14","2398","0","10808","3688","769","68","145","2691","163321","447","1120256","1312814","38747","345952","4443","17610"
"30","029","90735","01940592","3002990735",Creston-Bigfork,Creston-Bigfork CCD,"22",Z5,G4040,,,,S,"352445695","60345381","+48.1251433","-114.0655066","0","66421","0","17697","6781","2040","236","490","4702","192674","589","17787","6623","37058","75508","23238","6801"
"30","029","91890","01940651","3002991890",Kalispell,Kalispell CCD,"22",Z5,G4040,,,,S,"248534131","6398571","+48.2412535","-114.3215807","0","6050","0","25417","25250","13478","3865","503","124","26708","26","27985","4427","66084","69503","11198","2650"
"30","089","91134","01940614","3008991134",Flathead Reservation,Flathead Reservation CCD,"22",Z5,G4040,,,,S,"1857234904","14721200","+47.4766889","-114.5637949","0","18239","0","11448","9942","3188","181","6719","501","622346","307","403428","790135","136138","59472","9366","8542"
